year,county_code,D,D1,D2,reform_year,D1_year,D2_year,gdp_growth_pc,ln_gdppc,gdppc,ln_fiscal_exp_pc,ln_fiscal_rev_pc,fiscal_autonomy,transfer_dependence,fiscal_exp_pc,fiscal_rev_pc,primary_ratio,secondary_ratio,tertiary_ratio,ln_pop,gov_scale,high_development,high_agriculture,is_county_city,region,region_east,region_central,region_west,relative_time,event_m6plus,event_m5,event_m4,event_m3,event_m2,event_m1,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10plus
2018,411723,0,0,0,,,,9.618697017798644,10.387671415355683,32457.0,8.347173081300623,6.718611990307258,0.19621170188519518,0.8037882981148048,4218.239252849883,827.6679027606098,16.53643028133291,42.79569910931702,40.66739853106404,4.757856937652355,21.089367852842038,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,411723,0,0,0,,,,10.081030286224852,10.483717962940375,35729.0,8.457912840935366,6.876774519111112,0.20574076565357613,0.7942592343464239,4712.212589521297,969.4942260905322,17.307067656179118,41.801349942164975,40.89158240165591,4.7598807090738635,21.604809046222854,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,411723,0,0,0,,,,3.0199557782193733,10.513470491835305,36808.0,8.401825609970832,6.965688017411422,0.23784463976444484,0.7621553602355552,4455.192772314289,1059.6437200122502,18.492395764871084,40.8112868395243,40.696317395604616,4.766846760804758,19.74725575969011,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,411723,0,0,0,,,,10.125516192132144,10.609921077421808,40535.0,8.242055688567932,7.05947589489167,0.3064870444972423,0.6935129555027577,3797.33843537415,1163.8350340136055,17.84666803083009,41.23183957438101,40.92149239478889,4.767289035464526,15.229759225155174,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,411723,0,0,0,,,,6.905143702972739,10.676692825266652,43334.0,8.33223431379314,7.13898909261401,0.30323559899304015,0.6967644010069598,4155.692307692308,1260.1538461538462,17.786726804123713,41.63015463917526,40.58311855670103,4.762173934797756,15.664175257731957,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,411723,0,0,0,,,,,,,8.36789170388938,7.200820273376226,0.31127720465361824,0.6887227953463817,4306.547008547009,1340.5299145299145,17.413448735019973,36.40479360852197,46.18175765645805,4.762173934797756,16.77316910785619,0,1,0,中部,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,411724,0,0,0,2009.0,,2009.0,,8.106514516255185,3316.0,5.373941256121921,4.882244802264926,0.6115879828326181,0.38841201716738194,215.71136827773995,131.92648059904698,54.063978067485294,24.599982710855524,21.33603922165918,4.296604902619887,6.522123930234186,0,1,0,中部,0,1,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,411724,0,0,0,2009.0,,2009.0,-18.30518697225573,7.904334842085095,2709.0,5.408124635185453,4.5173074458406735,0.4103203063271136,0.5896796936728864,223.21258987925657,91.58865825532493,39.70681195629271,31.338109428774974,28.955078614932322,4.300138475201197,8.254317048453288,0,1,0,中部,0,1,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,411724,0,0,0,2009.0,,2009.0,24.178663713547436,8.120886021092838,3364.0,5.874341978724635,4.911529428895822,0.38181749366034595,0.618182506339654,355.7904659305144,135.8470239698357,49.675251599627025,25.046220378765955,25.278528021607023,4.307572448748934,10.619031542394135,0,1,0,中部,0,1,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,411724,0,0,0,2009.0,,2009.0,-5.023781212841855,8.069342366811636,3195.0,5.880778323501088,4.842883038450265,0.35419938673248075,0.6458006132675193,358.08784145688264,126.83449384038562,44.265788047018475,26.66873994007119,29.06547201291033,4.313212318673522,11.238542712934283,0,1,0,中部,0,1,0,-6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,411724,0,0,0,2009.0,,2009.0,47.88732394366197,8.460622839927844,4725.0,6.068636311858689,4.716528914863069,0.25869451375412006,0.7413054862458799,432.0910421935312,111.77958205776653,57.30463750180126,20.894328928370616,21.801033569828125,4.319219946381069,9.172437761182643,0,1,0,中部,0,1,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,411724,0,0,0,2009.0,,2009.0,11.322751322751323,8.567886305731756,5260.0,6.336168561205709,4.360694453927526,0.13869554008765145,0.8613044599123485,564.6288209606988,78.31149927219798,56.57002442125658,21.15768865925283,22.272286919490586,4.325059379032629,10.764778896805053,0,1,0,中部,0,1,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,411724,0,0,0,2009.0,,2009.0,8.460076045627376,8.649098262296176,5705.0,6.449522271610558,4.5260143089387705,0.14609357138403342,0.8539064286159666,632.400105152471,92.38958990536278,54.378693984915486,22.55835831624787,23.06294769883665,4.331785418237135,11.121076025878986,0,1,0,中部,0,1,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,411724,0,0,0,2009.0,,2009.0,27.361963190184046,8.890961212781146,7266.0,6.850799763827271,4.780432607111836,0.12613946025202993,0.8738605397479701,944.6360904220567,119.15588658042597,51.272981991586576,25.168480080670303,23.558537927743117,4.33768282082183,13.911970841688381,0,1,0,中部,0,1,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,411724,0,0,0,2009.0,,2009.0,21.12579135700523,9.082620630373812,8801.0,7.076425490905975,4.97253502729912,0.121980941507114,0.878019058492886,1183.7296946068875,144.39246263807667,47.065026362038665,29.30202228248336,23.632951355477978,4.343155860284888,14.487272264590572,0,1,0,中部,0,1,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,411724,1,0,1,2009.0,,2009.0,18.25928871719123,9.250330020192342,10408.0,7.146638781694438,5.144349867493775,0.13502586663407878,0.8649741333659212,1269.8305961463857,171.45997672313462,38.93575811500713,32.638659063905514,28.425582821087353,4.348081978620944,13.318757154715467,0,1,0,中部,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,411724,1,0,1,2009.0,,2009.0,25.768639508070716,9.479603858903946,13090.0,7.619419823415207,5.363607187667565,0.10478835436431753,0.8952116456356825,2037.379746835443,213.49367088607596,40.07361294133685,31.675376016721952,28.251011041941197,4.3694478524670215,18.28429590584814,0,1,0,中部,0,1,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,411724,1,0,1,2009.0,,2009.0,26.447669977081738,9.714262219425379,16552.0,7.679396403639059,5.607358097770432,0.12592883843909555,0.8740711615609045,2163.3136094674555,272.42357001972385,40.04227596550431,32.415448068991374,27.54227596550431,4.395929539842873,16.449943757030372,0,1,0,中部,0,1,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,411724,1,0,1,2009.0,,2009.0,8.518608023199613,9.796013694230895,17962.0,8.019268980663217,5.84748822954051,0.11397447591679245,0.8860255240832076,3038.9549858947626,346.36330185207896,39.278950169090415,31.682572134740205,29.038477696169384,4.400971050674819,21.684707645127187,0,1,0,中部,0,1,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,411724,1,0,1,2009.0,,2009.0,10.266117358868723,9.893740201081249,19806.0,8.13811907071975,6.007381607817027,0.11874968806371343,0.8812503119362866,3422.4743777452422,406.4177647632992,38.493530796757184,31.713026337403495,29.79344286583932,4.406231323370699,22.587133741959796,0,1,0,中部,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,411724,1,0,1,2009.0,,2009.0,9.789962637584571,9.987139125031739,21745.0,8.223313327367729,6.185613420145582,0.1303281331947788,0.8696718668052212,3726.8301566104165,485.71081704504064,35.55994756063578,28.422253054490028,36.0177993848742,4.411221292953157,22.57120525981823,0,1,0,中部,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,411724,1,0,1,2009.0,,2009.0,7.2706369280294325,10.057323897250996,23326.0,8.310446297022036,6.369941510498499,0.14363142826595707,0.8563685717340429,4066.1272793140924,584.0236686390532,34.18275042556516,27.72813993075829,38.08910964367656,4.416548827045609,23.07481449196703,0,1,0,中部,0,1,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,411724,1,0,1,2009.0,,2009.0,9.294349652748005,10.146198409342867,25494.0,8.488615400864221,6.4757344760074815,0.13360321886662896,0.866396781133371,4859.133461353817,649.1958713394145,32.024345177423584,27.51421772627756,40.46143709629885,4.422688616392771,25.332737656122806,0,1,0,中部,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
