county_code,D2,D1,reform_pivot,gdp_growth_outcome,ln_gdppc_outcome,fiscal_autonomy_pre,primary_ratio_pre,secondary_ratio_pre,ln_pop_pre,gov_scale_pre,region_val
410523,0,0,2007,20.954075,9.9903135,.30661157,26.123764,46.278858,3.8144019,6.3457098,2
410526,1,1,2014,8.6637831,9.9470816,.14994432,36.063103,40.4039,4.9018784,19.792879,2
410527,0,0,2007,16.944069,9.4882517,.22151574,47.541592,31.067049,4.2632346,7.9446774,2
410581,0,1,2007,28.25338,10.381013,.52285326,9.5843544,68.108566,4.591063,6.0083866,2
410621,0,0,2007,16.766653,9.4900208,.27008158,37.994843,45.144905,4.2021952,7.8884525,2
410622,0,1,2007,15.306017,10.578473,.40799883,21.675032,62.49221,3.2339551,4.8590069,2
410721,0,1,2007,22.075617,10.654718,.60307813,10.833981,67.519096,3.4564128,7.518342,2
410724,0,0,2007,13.662605,9.4530039,.34753001,22.723024,53.035957,3.684026,7.9663234,2
410725,0,0,2007,17.685217,9.2640619,.25805053,31.111132,41.359444,4.1859541,11.132366,2
410726,0,0,2007,18.925535,9.5897207,.31407073,29.098051,45.798042,3.8237174,10.040819,2
410727,1,0,2009,12.061707,9.305747,.18428904,38.83493,32.84771,4.3085508,13.919713,2
410781,0,0,2007,17.124796,9.5824623,.27954486,26.806679,34.352711,3.8881302,9.0644236,2
410782,0,1,2007,22.993383,10.034294,.51936567,15.302786,62.076805,4.3640246,6.7271895,2
410783,0,0,2007,19.057404,9.6467161,.4248639,21.904345,40.157616,4.3689737,7.7633452,2
410821,0,0,2007,7.3212647,10.296949,.61626095,15.003935,64.727135,3.3231137,6.2246847,2
410822,0,1,2007,13.467102,10.490328,.70301485,11.79229,63.803791,3.7553685,4.9550061,2
410823,0,0,2007,15.12479,10.155354,.51734716,18.530844,52.878174,4.1683068,5.9350986,2
410825,1,0,2009,10.180311,10.614627,.47148326,12.122062,65.829826,3.7417836,5.7397809,2
410882,0,1,2007,18.49128,10.724429,.68259615,7.9532857,60.852978,3.8390837,4.6379051,2
410883,0,1,2007,19.493382,10.645284,.66621059,10.335566,65.381424,3.6031377,6.3120899,2
410922,0,0,2007,21.155729,9.5641384,.25358728,37.168846,43.595901,4.1961112,8.7318535,2
410923,0,0,2007,20.741949,9.6810389,.20573443,36.658447,42.586651,3.8912702,7.8832726,2
410926,1,0,2009,17.887756,9.8862305,.20884988,17.624212,61.447929,3.9055922,11.42404,2
410927,0,0,2007,20.277256,9.5566969,.13003573,17.440634,57.536884,3.5462525,11.526439,2
410928,0,1,2007,20.123487,9.6417322,.34449244,24.104294,55.711525,4.6802444,9.0801268,2
411024,1,0,2009,11.85405,10.381464,.28083092,29.45326,47.219368,4.1451902,5.8815413,2
411025,0,0,2007,25.768038,10.165713,.37887129,26.670679,48.243454,4.3911066,5.6043692,2
411081,0,1,2007,18.636028,10.140435,.65876812,11.193179,65.560631,4.7852874,5.3159561,2
411082,0,1,2007,16.629887,10.472533,.55276811,10.48234,68.670509,4.2437148,4.0008216,2
411121,0,0,2007,18.174173,9.5866365,.26503232,25.65621,53.836548,4.0262332,9.534996,2
411122,0,1,2007,14.388354,10.068633,.33765021,22.353998,61.838009,4.2434735,4.6845064,2
411221,0,1,2007,18.079594,10.600533,.65602589,12.477707,66.810181,3.5102508,8.6273069,2
411224,1,0,2009,17.005627,9.5768061,.28479558,26.892166,28.46608,3.5967617,21.467367,2
411281,0,1,2007,25.322102,11.187967,.71369195,.93256301,82.147285,2.6435666,7.0491252,2
411282,0,1,2007,21.246923,10.521108,.55970013,10.637609,61.986244,4.2938318,4.3921328,2
411321,0,0,2007,13.609963,9.5643387,.30115116,18.772097,63.757854,4.1283069,7.1325083,2
411322,0,0,2007,13.982906,9.2496939,.29441556,40.206242,37.466381,4.6176181,8.1506042,2
411323,0,0,2007,20.267078,10.296147,.45292053,23.510855,56.621662,3.7732804,7.9565907,2
411324,0,0,2007,6.4938202,9.7430229,.34556806,15.814974,62.127773,4.562396,4.0345516,2
411325,0,0,2007,14.30991,9.6509781,.33877361,30.539618,47.077923,4.1601219,7.3489699,2
411326,0,1,2007,17.791225,9.7378731,.36466041,26.98584,54.89603,4.2975945,7.6573887,2
411327,0,0,2007,17.030857,9.4174099,.22255592,40.232246,32.719101,4.1666565,9.3770151,2
411328,1,0,2009,5.5618668,9.6875486,.26843479,34.183029,46.4729,4.8814793,7.768682,2
411329,0,0,2007,18.373674,10.031791,.37797931,29.325092,49.894657,4.3045049,4.4512453,2
411330,0,0,2007,17.037825,10.023216,.35541055,25.191002,57.523468,3.7731283,7.869163,2
411381,1,1,2014,7.8749194,10.1884,.19371764,30.114338,43.941395,5.1633897,13.832545,2
411421,0,0,2007,18.810385,9.4265623,.15423438,40.463535,31.398378,4.4356008,7.931478,2
411422,0,0,2007,16.051506,9.3540249,.16187593,42.49839,36.752304,4.3787642,8.3748226,2
411423,0,0,2007,19.293133,9.1912737,.15485194,37.704876,31.562517,4.0725479,12.647881,2
411424,0,0,2007,23.87282,9.263546,.14098978,43.805115,23.417749,4.5444236,11.425875,2
411425,0,0,2007,17.139799,9.3792772,.20201206,44.745831,30.646967,4.6820326,8.5071115,2
411426,1,0,2009,14.51709,9.5258331,.10306992,37.158985,33.826828,4.7343173,11.654367,2
411481,1,1,2014,5.6360807,10.548316,.57094634,14.884371,62.30798,5.0259085,11.235152,2
411521,0,0,2007,27.149891,9.562623,.17063293,30.026608,35.617222,4.2539954,10.520106,2
411522,0,0,2007,24.926834,9.4373484,.2249836,31.443928,36.894157,4.3793855,10.704456,2
411523,0,0,2007,21.345221,9.816555,.19193116,26.5252,42.862808,3.5047474,11.285987,2
411524,0,0,2007,26.528128,9.480545,.18472178,33.916061,39.377159,4.2691751,10.760627,2
411525,1,1,2014,7.5966377,10.221306,.15954535,34.302494,34.122787,5.1509695,18.358147,2
411526,0,1,2007,21.02973,9.7060699,.27662987,34.90839,37.105652,4.3678727,7.3184853,2
411527,0,0,2007,22.077351,9.4011374,.16014874,37.277752,28.685919,4.1974363,11.387793,2
411528,0,0,2007,23.195391,9.3339815,.21327868,37.792957,36.358501,4.5294266,10.238477,2
411621,0,0,2007,23.78023,9.3299026,.24937078,49.050381,26.875879,4.2727656,11.645434,2
411622,0,0,2007,17.208035,9.3243389,.21633685,46.698006,31.23245,4.4860826,8.6270018,2
411623,0,0,2007,22.16811,9.0943699,.19199234,45.897408,28.566772,4.7626276,9.7690563,2
411624,0,0,2007,23.44376,9.1962967,.21378842,33.465004,39.10767,4.8080268,9.3843985,2
411625,1,0,2009,18.440781,9.5854034,.16100635,33.18465,46.108631,4.8735867,11.562745,2
411627,0,0,2007,20.124468,9.0462036,.1843427,44.837467,34.086292,4.9177356,8.6558771,2
411628,1,1,2014,8.5714197,10.373837,.19522028,24.34161,49.41404,4.7842579,15.721794,2
411681,1,1,2004,19.198336,9.1880522,.54545492,19.790112,58.043179,4.7461634,5.5161529,2
411721,0,1,2007,18.283333,9.4179373,.21930981,36.745678,36.919525,4.4411888,7.2674966,2
411722,0,0,2007,21.610331,9.0575714,.17797847,32.656914,39.482819,4.9237814,9.9771891,2
411723,0,0,2007,25.608604,9.245554,.18829085,37.184692,37.698643,4.5530934,10.178102,2
411724,1,0,2009,17.852064,9.62679,.13140467,50.905567,25.676287,4.3375411,13.17344,2
411725,0,0,2007,24.416237,9.6491346,.24248536,32.300674,44.937218,3.9207747,9.2577581,2
411726,0,0,2007,23.747229,9.3294697,.21290527,41.389221,33.802052,4.5675969,10.365891,2
411727,0,0,2007,19.086897,9.2646227,.24347141,42.780636,32.765652,4.363853,9.4883766,2
411728,0,0,2007,21.285088,9.7747536,.26340505,31.826063,41.348354,4.0022211,7.7759748,2
411729,1,1,2014,7.8965354,9.945343,.11990753,34.822552,37.586044,4.7117434,21.332401,2
420222,1,1,2002,,8.8106699,.55624866,18.967369,42.361023,4.5700202,4.9428811,2
420281,1,1,2002,,9.3873615,.76681268,13.063107,54.37072,4.478775,4.620616,2
420322,1,0,2002,,8.0682554,.31854278,51.91687,16.545942,3.9079423,15.214239,2
420323,1,0,2002,,8.1512642,.39565268,46.459373,26.786293,3.7907162,14.062685,2
420324,1,1,2002,,8.3226051,.30667999,56.409729,18.473328,3.5527291,18.658684,2
420325,1,0,2002,,8.0239105,.26044863,42.550541,24.144287,3.8852658,16.400839,2
420381,1,1,2002,,9.1149807,.60696459,9.6795015,44.838531,3.8927107,6.2826829,2
420525,1,1,2002,,9.36623,.59546268,26.286709,46.049187,3.0546436,8.1998062,2
420526,1,0,2002,,9.2540379,.63728523,24.78392,49.991776,2.9195585,11.052563,2
420527,1,0,2002,,8.7273254,.53768861,22.570547,37.024406,3.6800838,9.3088112,2
420528,0,0,2007,15.664854,9.4013004,.29547364,22.589146,38.704735,3.7167945,10.539496,2
420529,0,0,2007,19.912266,9.3342762,.1814284,33.310242,31.079468,3.0285115,14.376248,2
420581,1,1,2002,,9.6602135,.67928028,17.14996,52.162411,3.6477847,5.7332568,2
420582,1,1,2002,,9.459609,.63032103,20.230219,52.496269,3.8895741,4.9700694,2
420583,1,1,2002,,9.4601011,.73490787,25.205738,34.022461,3.9276979,5.4130154,2
420624,1,0,2002,,8.5370636,.58918345,37.713142,40.669712,4.0613956,7.8509874,2
420625,1,1,2002,,8.8125658,.6858173,36.278084,33.549847,4.0024843,7.0762963,2
420626,1,0,2002,,8.6224174,.70601177,39.017494,34.307877,3.3650098,8.9221764,2
420682,1,1,2002,,8.9559059,.85721648,21.05961,46.389458,3.9331942,5.1645889,2
420683,1,1,2002,,8.840992,.68129158,28.442225,43.893196,4.6785717,5.0566893,2
420684,1,1,2002,,8.8626747,.70107222,43.116249,29.772516,3.993463,7.9063215,2
420822,1,1,2002,,9.0356092,.55244076,40.023369,29.033661,4.1557679,3.9132431,2
420881,1,1,2002,,9.0368824,.78387523,30.578749,34.058693,4.6322355,3.9133077,2
420882,0,0,2007,24.873514,9.8760395,.37927902,34.501972,32.179905,4.1672626,7.8340816,2
420921,1,1,2002,,8.3396587,.62005556,34.381016,33.442902,4.1303892,5.3052502,2
420922,1,1,2002,,8.6265869,.55238652,27.051832,40.587944,4.1041298,6.7902794,2
420923,1,1,2002,,9.0583935,.73894703,29.244087,42.78894,4.0522861,5.4617281,2
420981,1,1,2002,,9.0550823,.80881405,21.002771,46.368782,4.1891775,3.3688889,2
420982,1,1,2002,,8.8280287,.57106388,34.425529,36.525398,4.1214466,7.3928742,2
420984,1,1,2002,,9.1360741,.76587069,20.910944,43.823647,4.6650333,3.7181158,2
421022,1,1,2002,,8.5617905,.90837669,36.323368,23.766745,4.6461573,5.4499454,2
421023,1,1,2002,,8.3622093,.67380202,43.608753,28.227854,4.9444513,6.0929556,2
421024,1,0,2002,,8.486433,.48521036,53.615036,31.465763,3.6779447,6.1484785,2
421081,1,1,2002,,8.9300613,.72136974,20.089512,41.069462,4.1491046,6.1106157,2
421083,1,1,2002,,8.6678505,.89888787,32.386898,39.469193,4.4927893,5.4082174,2
421087,1,1,2002,,8.6302643,.64955813,26.774509,39.630138,4.4600697,6.0285873,2
421121,1,1,2002,,8.4646301,.4533326,39.030289,38.839252,3.6250072,13.074252,2
421122,1,0,2002,,8.4659643,.92737788,18.137579,51.241585,4.1716142,6.9393449,2
421123,1,1,2002,,8.2990847,.64316779,28.053715,45.294006,4.0497851,6.7606292,2
421124,1,0,2002,,8.5704327,.63853514,44.441078,36.372818,3.6741586,7.7402925,2
