county_code,D2,ln_gdppc_outcome,cate_lngdp,cate_lower,cate_upper,fiscal_autonomy_pre
130728,0.0,9.4775772,0.2173640150788323,0.16671368184117272,0.26801434831649185,0.16446701
130730,1.0,10.020523,-0.12354738710119051,-0.3307591961892604,0.08366442198687932,0.4061538
130731,1.0,9.7319279,0.1916384302780365,0.09006762735105764,0.29320923320501535,0.16426431
130732,0.0,9.4608908,0.12257252555632192,0.0237250342211187,0.22142001689152513,0.28865415
130821,1.0,9.7866058,0.0980751055335638,-0.009195565908643219,0.20534577697577078,0.33774722
130822,1.0,9.8547697,0.09836797482107329,0.013884596107122976,0.18285135353502358,0.25171688
130824,0.0,10.112737,0.09267901061606665,-0.01761571669134221,0.20297373792347548,0.26657343
130825,0.0,9.4793987,0.20958937858002713,0.09798916834739724,0.321189588812657,0.1456413
130826,0.0,9.4876995,0.17242503515735663,0.028699681342972683,0.3161503889717405,0.19014269
130827,0.0,10.818708,-0.03611709601729274,-0.23856466885197095,0.16633047681738541,0.37642789
130828,0.0,9.0005083,0.148796126706916,0.07895860657872986,0.2186336468351021,0.091012031
130881,0.0,9.578701,0.1617247652299305,0.07738323528378652,0.24606629517607448,0.19050553
130921,0.0,9.9692545,-0.0028117443534263487,-0.14969841622804878,0.14407492752119605,0.45399791
130922,0.0,10.095255,0.050697643744566534,-0.07147840430027302,0.17287369178940606,0.29502249
130923,1.0,9.9777336,0.1261797147371979,0.06469446414298448,0.18766496533141133,0.18192735
130924,0.0,9.0226736,0.11550570370028623,0.009373406720695046,0.22163800067987738,0.15241705
130925,1.0,9.736969,0.06376723936310924,-0.04307663337373967,0.17061111209995813,0.16168286
130926,1.0,10.128279,0.10966586696075353,0.03216316201664424,0.1871685719048628,0.34638315
130927,1.0,9.5725288,0.1769508314743966,0.08135342205734898,0.2725482408914442,0.14833428
130928,1.0,9.6611881,0.17777949173574115,0.05162579011397811,0.30393319335750413,0.1405368
130929,1.0,9.8225327,0.10233954527398126,-0.015771784682806905,0.2204508752307694,0.15095647
130930,0.0,9.865036,-0.04955668133304414,-0.18006111237001626,0.08094774970392796,0.15229568
130981,1.0,9.8305416,0.022647515461397205,-0.15840153148419384,0.2036965624069882,0.22489251
