county_code,D2,cate,cate_lower,cate_upper
340281,0,-0.01611612105301269,-0.029858783426194344,-0.0023734586798310354
340321,1,-0.02158652419060042,-0.034393366961785674,-0.008779681419415169
340322,1,-0.015786500644959123,-0.03631026461132521,0.004737263321406959
340323,1,-0.013772245861354837,-0.03350208208446997,0.005957590361760291
340421,1,-0.014930470696133624,-0.044004400845786745,0.014143459453519486
340521,1,-0.009096313231489794,-0.0330323946502408,0.0148397681872612
340522,1,-0.02473592785535783,-0.042944790737125024,-0.006527064973590645
340523,1,-0.017573408950420033,-0.036934610040763066,0.0017877921399229967
340621,1,-0.018075336488083127,-0.037382707897877294,0.0012320349217110373
340822,1,-0.019810248789894236,-0.03656006260181843,-0.0030604349779700425
340825,1,-0.017425423170779664,-0.029815101290210325,-0.005035745051349004
340826,1,-0.020468165322684584,-0.03428535093947695,-0.006650979705892219
340827,1,-0.028889178982323793,-0.04233679863101314,-0.015441559333634447
340828,1,-0.03420347114621575,-0.05121000645198494,-0.017196935840446556
340881,1,-0.014977902472886662,-0.03310572104823177,0.0031499161024584436
340882,0,-0.02829352175268912,-0.0449638528906489,-0.01162319061472935
341021,1,-0.0202695911389722,-0.04574857059844886,0.005209388320504462
341022,1,-0.02787447927586112,-0.04999054565284021,-0.005758412898882032
341023,1,-0.01866976007350235,-0.037233296660477866,-0.00010622348652683869
341024,1,-0.024763719598701717,-0.04807206812185429,-0.0014553710755491472
341122,1,-0.03725401643400461,-0.05554547185153984,-0.01896256101646939
341124,1,-0.038262121794423176,-0.06083764828627712,-0.015686595302569238
341125,1,-0.029046606114743356,-0.052063486422411896,-0.006029725807074823
341126,1,-0.02376575977314227,-0.04477686029347347,-0.0027546592528110807
341181,1,-0.02003245683905147,-0.035831673140407916,-0.00423324053769503
341182,1,-0.029382580624405574,-0.055640039898445154,-0.003125121350366005
341221,1,-0.019670867396197833,-0.04282629730265498,0.0034845625102593036
341222,1,-0.01648473243138615,-0.03662147367775413,0.0036520088149818233
341225,1,-0.016672084716185864,-0.033744765812310326,0.0004005963799385906
341226,1,-0.025531633025568046,-0.04383609568905162,-0.007227170362084475
341282,1,-0.025276397643415716,-0.04557624902296678,-0.004976546263864651
341321,1,-0.018536885364458133,-0.04153111660383901,0.004457345874922736
341322,1,-0.019038392432013884,-0.035485488152817324,-0.0025912967112104515
341323,1,-0.01767618167157098,-0.039119564492943334,0.003767201149801374
341324,1,-0.011461698682822208,-0.02908229239977125,0.006158895034126831
341522,1,-0.027793278848207703,-0.04000059205392889,-0.01558596564248652
341523,1,-0.018098421808687037,-0.03685221941743988,0.000655375800065805
341524,1,-0.03842600366882154,-0.05533239264497666,-0.021519614692666424
341525,1,-0.0243305969920668,-0.05134002975992863,0.0026788357757950194
341621,1,-0.01659132037673383,-0.0359389455373523,0.0027563047838846354
341622,1,-0.01621854052233973,-0.03464144941756941,0.002204368372889943
341623,1,-0.016493839226387808,-0.03145521615865454,-0.001532462294121073
341721,1,-0.019991372677657215,-0.03775287626395768,-0.002229869091356751
341722,1,-0.009201472949972977,-0.03211390702158147,0.013710961121635515
341723,1,-0.025168038460070707,-0.047145311670752435,-0.003190765249388987
341821,1,-0.024328408344951702,-0.039441759174329884,-0.009215057515573524
341823,1,-0.013001837640714997,-0.031942140890068624,0.0059384656086386295
341824,1,-0.01549423142509232,-0.028504316193225014,-0.0024841466569596304
341825,1,-0.0181079146862283,-0.032659680101525104,-0.003556149270931494
341881,1,-0.02808105057050364,-0.041839268751912545,-0.014322832389094738
341882,0,-0.0076420205940477826,-0.023399063877606027,0.008115022689510459
350121,1,-0.04617965548751721,-0.06705354324186853,-0.02530576773316589
350122,1,-0.04826901654530591,-0.07015839161926701,-0.02637964147134481
350123,1,-0.04807828904973904,-0.07296667133695137,-0.023189906762526726
350124,1,-0.05406890240959952,-0.07886387552860219,-0.02927392929059686
350125,1,-0.055583111532457485,-0.07636899147315782,-0.034797231591757155
350128,1,-0.050470350592771385,-0.06889639145660086,-0.03204430972894192
350181,1,-0.0309119052086049,-0.05498832463093381,-0.006835485786275998
350322,1,-0.0024802219171373707,-0.021085597879358868,0.01612515404508412
350421,1,-0.05448076830083276,-0.08465911467531258,-0.02430242192635295
350423,1,-0.055327905224704155,-0.08088821589084971,-0.029767594558558597
350424,1,-0.042944257529506424,-0.06676011594573991,-0.01912839911327294
350425,1,-0.05061000721637843,-0.0788857992340362,-0.022334215198720662
350426,1,-0.05381157160892053,-0.07366475647803006,-0.03395838673981101
350427,1,-0.06067259947396764,-0.09143167602975538,-0.029913522918179905
350428,1,-0.06326039804894307,-0.08649956730093716,-0.04002122879694898
350429,1,-0.061907752966353535,-0.08889759723358212,-0.03491790869912496
350430,1,-0.05320576484185241,-0.0806818928554244,-0.025729636828280424
350481,1,-0.05253257548642162,-0.07653708729531557,-0.028528063677527683
350521,1,-0.03699861278639649,-0.0564161164714342,-0.01758110910135878
350524,1,-0.028110074455250655,-0.05766321239428036,0.001443063483779039
350525,1,-0.04556691271261251,-0.06582530275282705,-0.02530852267239797
