year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region,gdp_growth_pc_w,D2_w,D1_w,fiscal_autonomy_w,ln_fiscal_exp_pc_w,primary_ratio_w,secondary_ratio_w,ln_pop_w,gov_scale_w
2003,513401,0,0,11.35432391632521,6.776769175965759,0.5150437908366929,18.00869174792237,35.8271138483434,4.050044303325521,8.531297916860806,西部,0.9728572839072791,0.27843999841283384,0.20223019014115967,-0.10652180523947949,0.047304489489974094,-1.7812057856668486,-4.853206081587392,-0.058181643098209404,6.168579177061993
2004,513401,0,0,20.00581001258836,6.99209325256578,0.4705929041987459,18.36601590764998,40.23714518844673,4.05871738457895,8.816667343131341,西部,0.0963850076546136,0.22368495518516815,0.1695692871632538,-0.1169805116241231,0.08833121427775191,-1.059792419420578,-1.5166734598843021,-0.05430760695625942,6.429590671004931
2005,513401,0,0,7.254095053659324,6.983320115030122,0.5237838181125365,16.73358860297499,40.22988238115584,4.067315889834181,7.3325797096725,西部,-5.1122635722744185,0.1891028226203267,0.0946413332727639,-0.05772959934432869,-0.11992000098252369,-1.8677235555146265,-0.47817949398797155,-0.048465216891685335,4.063916312742616
2006,513401,0,0,17.21336142040325,7.266016212895763,0.5118436173456226,15.68368254475423,43.18207278547291,4.087655574071304,8.307234613769799,西部,3.2982481113403592,0.20808613350156074,0.06666839541843206,-0.06952796381542384,-0.06491026847765272,-0.8197420001022375,0.2166563627106133,-0.03253322472495823,3.3817041981822884
2007,513401,0,0,22.80487804878049,7.404448395063556,0.5300139037217644,16.3476367739193,45.17132743503463,4.100989104940769,7.88634584900938,西部,4.467559649513777,0.08639011595537578,0.04500606637215905,-0.04367156674428461,-0.1987439316982011,0.7320466022656313,0.7049992346001311,-0.02763329033926559,1.3630941328373252
2008,513401,0,0,17.08566351330163,7.770895036370369,0.5585088668720339,16.6668588541331,44.21833400598947,4.107589788972121,9.776599027983629,西部,-1.7028481005328504,0.08472356511514455,0.010404941680995901,-0.002444206514685062,-0.11672576761352003,2.013223860902342,-1.6003113289078312,-0.02953460760642429,-0.011438781478346184
2009,513401,0,0,22.18105526292295,8.10794079026595,0.542299147101666,13.66067232458597,39.20913866598281,4.117409835153096,11.22043322594953,西部,11.579026054199515,-0.022165693124048088,-0.009803700332863362,-0.008327221206496451,-0.009394875387430703,0.4238785624486864,-6.251736072740888,-0.028528635068241864,-1.2647465758979568
2010,513401,0,0,21.02224982645866,8.27419773974729,0.5909482918697208,11.96743805728516,45.46763667515008,4.123903364463645,10.61372701277417,西部,1.036368436623818,-0.09538685669512204,-0.010332145819153378,0.03425126588356303,-0.055343297898725816,-0.36712804914470604,-1.755511469461051,-0.034713864783410674,-3.132806257783499
2011,513401,0,0,23.89132075471698,8.5906960056015,0.5404737096769405,10.21853344479183,51.22956439878286,4.136765278106052,11.3504705819326,西部,3.4553214813382156,-0.09122016873563919,-0.03925215624986834,-0.03469957074603232,0.04968989059324589,-1.022440143641105,1.9494781824470604,-0.02324122723611855,-2.866922112979372
2012,513401,0,0,10.44372426228709,8.782764904940226,0.5664298341367285,10.3112599930249,50.62457060490263,4.151039905898646,12.39579638103192,西部,-2.268498202916066,-0.10846154804598401,-0.042294752598752726,-0.015098662507183926,0.05834451934494559,-0.5005353226546794,1.0741533679935238,-0.014491648538191087,-2.5695565669478664
2013,513401,0,0,11.06894649751793,8.890887496368155,0.6139802151490682,9.949456686146902,53.01246717227828,4.168214410788556,12.56485901146059,西部,2.3805129499941216,-0.11354363999048711,-0.04940700717143654,0.0015481951825701086,0.023065023635640624,0.14037077507636084,3.5290169369495583,-0.0024642208929534968,-3.387185830018872
2014,513401,0,0,11.26097493146875,9.030070002554494,0.5975583365732352,9.425955622049395,53.42615242852987,4.178992036282385,13.02371661395406,西部,5.161509030990589,-0.12630611520467772,-0.07336838516757367,-0.00934094518710399,0.07420987227208586,0.1707179570816723,5.7432133615009215,0.004844982060434452,-2.8546193105306887
2015,513401,0,0,1.183696059702558,9.091716213444345,0.6107550425088171,9.66541696201481,50.34655093943571,4.174387269895637,13.53639060379048,西部,-2.2471358944430335,-0.12630611520467772,-0.08873822186305878,0.030604306822621514,-0.008808843345955913,0.616438998624525,4.313921867227537,-0.0006228628262967751,-4.562988476885948
2016,513401,0,0,5.522814694568938,9.151571399172528,0.7556317672784044,9.410311360046334,49.47885020273377,4.194189897191817,13.67362597511902,西部,-0.2715007454624041,-0.12630611520467772,-0.09450191062386569,0.1831174082402047,-0.01727804977759439,0.8372091705416467,4.61693556133419,0.015270245338881985,-4.062334503068425
2017,513401,0,0,3.727175439769915,9.20300156841372,0.6173197754927447,9.269580187031275,39.06260450458647,4.204692619390966,13.81487800511052,西部,-1.5140770182823997,-0.1385409142787465,-0.10139729474621721,0.045056591836664245,-0.0403929847769592,2.0348398232604477,-4.821259997355612,0.022328575790527026,-4.502347434503986
2018,513401,0,0,2.951654764399594,9.591178256129192,0.4422480452371437,9.053301705198322,37.55458866770179,4.217653045180559,19.5011089020976,西部,-3.9324394050580667,-0.13858717763568912,-0.10196917324551685,-0.1013648706055722,0.25187503571554787,2.302293687201747,-5.645497282705718,0.0342112034685887,-0.47272145665721305
2019,513401,0,0,8.140736565201053,9.539015051212107,0.5519443969596778,8.825630503526822,41.53313259966783,4.23501913150487,16.90964041553737,西部,-0.05166796387168452,-0.13858717763568912,-0.10196917324551685,-0.0011007711485679075,0.11729650340930907,1.841742955507554,2.357580222407845,0.0520386687908128,-1.5221347024883514
2020,513401,0,0,-12.23810144360946,9.379985015951354,0.6399987907482942,9.62590253895494,40.37806351580033,4.284744511867328,14.99318623076442,西部,-22.658565830772023,-0.13843987351559484,-0.10232945903528551,0.11284491128254144,-0.07659638124072628,1.2824377336443207,2.141619939822322,0.10242699798474791,-2.7820886680404397
2021,513401,0,0,8.46710993054066,9.251257929497717,0.7514473211424983,9.082449428101128,42.70665174043972,4.30406509320417,12.22733015839078,西部,-2.8994103423263424,-0.1547105285318244,-0.09576916794266811,0.18010044316205484,-0.15441961838566548,0.9918766643935043,3.543447078483355,0.12394602060549015,-0.6622675282635143
2022,513401,0,0,6.011286372693671,9.238378277139558,0.7439033560388214,9.143690388995488,44.1126231497686,4.31748811353631,11.47569349133044,西部,1.218777928101578,-0.1622244291204962,-0.09381545318781648,0.1812022513526692,-0.23612156032102963,0.9603160835701472,4.6316232759355715,0.13867726717776763,-1.5556617049076464
2001,513422,0,0,7.27075420510038,6.699222214725314,0.041029207232267,51.0027832351015,6.540602488539621,2.517696472610991,41.20006548788474,西部,-3.345821773713988,0.33162168873640896,0.2139831243522171,-0.25698380515367786,-0.15563848302411393,13.393371361470138,-25.659207820829952,-0.027982201082365273,-7.841767606516106
2002,513422,0,0,6.828528072837632,7.018437608633939,0.0313686170593712,49.53712522381805,8.388891005371633,2.525728644308256,53.19440740599642,西部,-7.489206058602573,0.2787370733517936,0.2024446628137556,-0.1986293737660793,-0.006259294153758804,12.827536582324418,-24.39805213089171,-0.02309068088448983,3.735027511823331
2003,513422,0,0,11.22159090909091,6.963024784737483,0.0544457795133674,47.58571477114411,10.28237452852628,2.533696813957432,45.24788473954263,西部,-5.37636249129549,0.27843999841283384,0.20223019014115967,-0.16907829617511252,-0.21317736038263652,12.842304008515287,-24.44426622988978,-0.019835315135062308,-4.693386031445076
2004,513422,0,0,26.64963814389102,7.307376573571189,0.0526954960663182,46.03414453104289,17.15709665447219,2.541601993464546,50.20677588675044,西部,0.5237263709888067,0.22368495518516815,0.1695692871632538,-0.13683639936885825,-0.043122923361173605,11.654822974932726,-18.64304282234411,-0.01672918073942702,0.2411471834351447
2005,513422,0,0,24.57142857142857,7.650213321458244,0.0746634937160705,40.14067995310668,19.43514867313226,2.549445170925571,57.32494937653203,西部,5.988583177526358,0.1891028226203267,0.0946413332727639,-0.10880840335310227,0.1002357468012636,6.585854565577461,-15.319234030496808,-0.011642118469059663,6.477733948413258
2006,513422,0,0,8.014031300593633,7.795266597120297,0.1004813477737665,36.68020780438264,22.15147845787274,2.564949357461537,61.67337213390102,西部,-12.117568776437725,0.20808613350156074,0.06666839541843206,-0.08284871299958747,0.0176026571025471,5.223270030486574,-14.860258793374808,-0.0005456240034891842,9.16928968712462
2007,513422,0,0,47.38945790657007,7.97259762089678,0.1395709961837084,33.53465593529666,34.12680697976707,2.572612230207106,49.88642779302286,西部,22.835652739334886,0.08639011595537578,0.04500606637215905,-0.03607295389464815,-0.07733216450931131,2.965552534603392,-4.385842049152691,-0.0013163477416927058,-4.215375954338084
2008,513422,0,0,23.69491525423729,8.20090378312708,0.1680733410942957,31.09459815546772,37.73280632411068,2.580216829592325,50.70250329380764,西部,-1.3100831275656581,0.08472356511514455,0.010404941680995901,0.005161788095269137,-0.13345447950114375,1.4874499331973643,-2.1321598392718757,-0.002213749654984611,-6.664086546843227
2009,513422,0,0,26.11674431351055,8.477294955563195,0.1865130909716897,24.66684955649217,37.55725698514436,2.587764035227708,53.12034981835715,西部,9.298228336818653,-0.022165693124048088,-0.009803700332863362,0.033928243051219616,-0.08677816873451953,-3.523457434684713,-1.9499385820646027,-0.0034806176623944744,-6.94338201467923
2010,513422,0,0,24.76097348978705,8.736929463058807,0.2206141185424793,21.69570605817599,44.07139117352721,2.602689685444384,55.72912179312996,西部,-1.4413946680162584,-0.09538685669512204,-0.010332145819153378,0.06195861294401401,-0.03934903323154309,-5.5923732772934756,2.801922200430817,-0.001233726471435954,-5.595963508616595
2011,513422,0,0,31.52486284072107,9.009768617280224,0.2255981160014986,20.30028230802039,50.15486321262465,2.617395832834079,56.91959298901232,西部,4.8723767993738365,-0.09122016873563919,-0.03925215624986834,0.04846635596621817,0.022025043627636832,-5.8942045094521465,6.828456167803581,0.012083144823144086,-4.876351737088541
