year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region
2018,530828,0,0,35.02313695697217,9.227134355384807,.1046481900181358,27.19263696323485,39.21068533255673,3.8965641303656,64.23259149591833,西部
2019,530828,0,0,11.03324808184143,9.354495981313306,.0849456366288,23.08940206148068,31.34223580174503,3.892513935039921,51.50282578351271,西部
2020,530828,0,0,24.65103422858985,9.376179993130489,.091825898675346,25.41872897610344,28.56659812428741,3.894734415290604,48.31080096309122,西部
2021,530828,0,0,15.58503954468179,9.272939131895258,.1129265363709781,25.85233973043091,30.63436671063398,3.895893623498262,38.12802639203115,西部
2022,530828,0,0,4.450839328537171,9.123360905423606,.1203412432850009,25.56815834851993,31.11633550204678,3.891820298110626,31.44769848698807,西部
2001,530829,0,0,9.702797202797203,7.006468751918169,.0810872027180068,29.12621359223301,12.62135922330097,2.079441541679836,85.72815533980582,西部
2002,530829,0,0,32.43027888446215,7.022075536011435,.0622178174209889,27.43362831858407,10.61946902654867,2.091864061678393,80.36283185840708,西部
2003,530829,0,0,38.68832731648616,7.125383649608237,.0793363499245852,23.2258064516129,19.35483870967742,2.079441541679836,64.16129032258064,西部
2004,530829,0,0,10.49891540130152,7.232642814179631,.0499503206575738,27.10280373831775,23.36448598130841,2.079441541679836,51.73364485981309,西部
2005,530829,0,0,9.305064782096583,7.343641816083634,.0451965222389883,28.32618025751073,18.02575107296137,2.19722457733622,59.72961373390559,西部
2006,530829,0,0,3.771551724137931,7.536956355483449,.0544270062185372,27.81954887218045,18.04511278195488,2.19722457733622,63.47744360902256,西部
2007,530829,0,0,13.49948078920042,7.819993365526932,.0570306573251818,30.79470198675497,17.21854304635762,2.19722457733622,74.20198675496688,西部
2008,530829,0,0,12.77828606282403,8.038567553008399,.0565369798354909,29.23976608187134,20.17543859649123,2.23001440015921,84.2485380116959,西部
2009,530829,0,0,16.22498647917793,8.534574589247013,.0462774902269104,30.65326633165829,18.09045226130653,2.19722457733622,115.0477386934673,西部
2010,530829,0,0,16.93811074918567,8.639823718239018,.053055768512512,29.60526315789473,19.51754385964912,2.19722457733622,111.5592105263158,西部
2011,530829,0,0,15.30043772383605,8.925268224039806,.048912176179584,29.30056710775047,19.65973534971645,2.302585092994046,142.1474480151229,西部
2012,530829,0,0,21.20793787748059,8.923164837878852,.0600762280444575,30.4953560371517,19.5046439628483,2.302585092994046,116.1578947368421,西部
2013,530829,0,0,21.22722095671982,9.02915417042248,.0649422256316824,28.9707750952986,22.23634053367217,2.302585092994046,106.007623888183,西部
2014,530829,0,0,24.34527304756312,9.138876593167632,.0671299528479211,26.90355329949238,21.6243654822335,2.302585092994046,94.52081218274112,西部
2015,530829,0,0,8.944087646392141,9.504170175014197,.0558804041742587,24.16974169741697,21.49446494464945,2.19722457733622,111.3837638376384,西部
2016,530829,0,0,12.03294321629822,9.591763211529997,.054304856858862,23.0958230958231,21.21212121212121,2.19722457733622,107.9385749385749,西部
2017,530829,0,0,10.33815677474271,9.624985437268204,.0570809937979375,22.40235814296242,22.18128224023581,2.19722457733622,100.4016212232867,西部
2018,530829,0,0,50.75390981134722,9.672643856487356,.0538163724172798,22.97385095814616,24.39692331337632,2.247917691651737,105.0195262014378,西部
2019,530829,0,0,12.63025679196129,9.786341947916195,.0359136132006794,17.95345290019623,17.74436798944292,2.25108125012693,72.3917942741583,西部
2020,530829,0,0,23.05976622196522,9.808884172498344,.0363518431354541,19.67377521613833,18.13871277617675,2.259155535066709,66.94101825168107,西部
2021,530829,0,0,15.26146203933678,9.77581988699322,.0370381328851753,19.56131078224102,22.78706395348837,2.261763098473791,55.82320295983087,西部
2022,530829,0,0,6.417984333595411,9.748820072523989,.059799229601961,19.35228528502427,23.73815761699591,2.302585092994046,53.18673404770479,西部
2001,530921,0,0,6.253521126760564,6.096360669237538,.2765033765676921,52.70440251572327,16.10062893081761,3.737669618283368,23.46918238993711,西部
2002,530921,0,0,8.695652173913043,6.090207470038595,.2996358963375455,49.07621247113164,17.89838337182448,3.744787086052232,21.56581986143187,西部
2003,530921,0,0,12.73170731707317,6.260673465265438,.2995452478399273,46.47599591419816,20.32686414708887,3.737669618283368,22.46169560776302,西部
2004,530921,0,0,9.130246646473388,6.356592039489571,.2369249394673124,43.45878136200717,22.67025089605735,3.761200115693562,22.20430107526882,西部
2005,530921,0,0,13.20380650277558,6.368586005850076,.2504087084811994,44.20970266040688,22.9264475743349,3.761200115693562,19.62363067292645,西部
2006,530921,0,0,16.07705779334501,6.74386742387702,.1853424657534247,43.69973190348526,23.92761394101877,3.761200115693562,24.46380697050938,西部
2007,530921,0,0,22.08811104405552,7.056335656163941,.166372674791533,44.77285166940339,24.13793103448276,3.761200115693562,27.30596606458676,西部
2008,530921,0,0,21.62629757785467,7.367440080749844,.1600100329020169,45.45047064096818,24.29403854773644,3.756538102587751,30.37965038099507,西部
2009,530921,0,0,21.52001625685836,7.776652080800525,.1398501814209356,42.62655906089508,23.73440939104916,3.761200115693562,37.6096845194424,西部
2010,530921,0,0,15.16722408026756,7.946078590256496,.2109964031960862,41.478895588702,25.07140590288797,3.784189633918261,39.44049508092669,西部
2011,530921,0,0,67.08290983011472,8.21935670668203,.1972534637825792,32.36349896089175,43.94483279803514,3.784189633918261,30.85830341961081,西部
2012,530921,0,0,39.7584079256105,8.447004800385692,.2174920034326728,33.75873186458893,45.87587318645889,3.784189633918261,27.55077915099409,西部
2013,530921,0,0,12.26837458027608,8.494984763409972,.1727394408090422,34.86325802615934,43.81688466111772,3.784189633918261,25.58478002378121,西部
2014,530921,0,0,1.019108280254777,8.61936408016369,.1789334580942766,37.70203794799719,31.78730381822441,3.784189633918261,28.53900210822207,西部
2015,530921,0,0,5.866549701189759,8.753342706409581,.1597846374730797,36.8658523164961,30.758226037196,3.784189633918261,30.65918344888302,西部
2016,530921,0,0,8.446838261950386,8.820994645747902,.1583361288158336,36.07435094453985,31.25568239216082,3.784189633918261,30.1141529447419,西部
2017,530921,0,0,8.562559694364852,8.86275065546646,.1582955558200965,34.79836461624233,31.37892585021371,3.784189633918261,28.88041256272069,西部
2018,530921,0,0,7.368143227906568,8.959880298759931,.1601381320308132,34.36111178465408,31.49124143975004,3.791932309170018,29.89176934348036,西部
2019,530921,0,0,14.2330383480826,9.017514318955872,.162045702325556,36.21714309012947,24.68482358652902,3.792811449922966,27.63306420862915,西部
2020,530921,0,0,36.1451832723621,9.038422205640648,.1658629032258065,37.67083986633629,24.8783316617447,3.788226927614635,25.26056750716905,西部
2021,530921,0,0,11.38303477344573,8.72878429659651,.2340585256173167,37.52668744893904,25.37732659020173,3.788724789083652,16.85023929231673,西部
2022,530921,0,0,10.3687235401244,8.837882438434976,.2076806617916267,38.52651606193408,26.24168038761588,3.784189633918261,17.02541426784042,西部
2001,530922,0,0,4.870495495495495,6.165575404844881,.4512419261670955,36.43670462156731,43.87139986604153,3.688879454113936,12.75485599464166,西部
2002,530922,0,0,9.100671140939598,6.226693582799022,.4237313066928169,34.3520782396088,46.21026894865526,3.696351468952637,12.46638141809291,西部
2003,530922,0,0,5.118110236220472,6.39081342819871,.4343558282208589,33.56521739130434,45.73913043478261,3.713572066704308,14.17391304347826,西部
2004,530922,0,0,15.33239700374532,6.457114199342201,.4193140932404501,30.98249027237354,46.54669260700389,3.713572066704308,12.70719844357977,西部
2005,530922,0,0,14.32920641363913,6.581721059154019,.4407799141688913,29.07542579075426,47.72911597729116,3.713572066704308,12.00040551500405,西部
2006,530922,0,0,13.95348837209302,6.805695542815323,.3803144076495057,29.12107306741969,46.80550653018002,3.713572066704308,13.06812566184257,西部
2007,530922,0,0,16.3421093628291,7.077759220989076,.3132796336098668,31.70142036869145,45.36113629495316,3.737669618283368,15.04472650347537,西部
2008,530922,0,0,14.04659882163899,7.230854109744213,.3071172451119681,33.23653643083421,44.0337909186906,3.756538102587751,15.60823653643083,西部
2009,530922,1,0,9.475167312433957,7.632547591447335,.2197375091533825,32.91746641074856,42.56238003838772,3.761200115693562,21.29678502879079,西部
2010,530922,1,0,6.681681681681682,7.779875613657187,.2062671620093684,35.088505489581,37.35155724848757,3.784189633918261,23.58211965045933,西部
2011,530922,1,0,18.65889212827988,8.137447810512011,.1956168620214674,34.86014642387835,38.70846630373568,3.80666248977032,28.89205932044302,西部
