county_code,lon,lat,name,level
210411,123.917165,41.881132,顺城区,district
210421,124.097979,41.922644,抚顺县,district
210422,125.037547,41.732456,新宾满族自治县,district
210423,124.927192,42.10135,清原满族自治县,district
210502,123.761231,41.291581,平山区,district
210503,123.765226,41.330056,溪湖区,district
210504,123.763288,41.302429,明山区,district
210505,123.748381,41.104093,南芬区,district
210521,124.126156,41.300344,本溪满族自治县,district
210522,125.359195,41.268997,桓仁满族自治县,district
210602,124.397814,40.136483,元宝区,district
210603,124.361153,40.102801,振兴区,district
210604,124.427709,40.158557,振安区,district
210624,124.784867,40.730412,宽甸满族自治县,district
210681,124.149437,39.883467,东港市,district
210682,124.071067,40.457567,凤城市,district
210702,121.130085,41.115719,古塔区,district
210703,121.151304,41.114662,凌河区,district
210711,121.107297,41.105378,太和区,district
210726,122.117915,41.691804,黑山县,district
210727,121.242831,41.537224,义县,district
210781,121.364236,41.171738,凌海市,district
210782,121.795962,41.598764,北镇市,district
210802,122.253235,40.669949,站前区,district
210803,122.210067,40.663086,西市区,district
210804,122.127242,40.263646,鲅鱼圈区,district
210811,122.382584,40.682723,老边区,district
210881,122.355534,40.405234,盖州市,district
210882,122.505894,40.633973,大石桥市,district
210902,121.657639,42.011162,海州区,district
210903,121.790541,42.086603,新邱区,district
210904,121.677575,42.011145,太平区,district
210905,121.42018,41.780477,清河门区,district
210911,121.654791,42.019218,细河区,district
210921,121.743125,42.058607,阜新蒙古族自治县,district
210922,122.537444,42.384823,彰武县,district
211002,123.172611,41.26745,白塔区,district
211003,123.188227,41.266765,文圣区,district
211004,123.200461,41.205747,宏伟区,district
211005,123.431633,41.157831,弓长岭区,district
211011,123.185336,41.251682,太子河区,district
211021,123.079674,41.216479,辽阳县,district
211081,123.325864,41.427836,灯塔市,district
211102,122.055733,41.190365,双台子区,district
211103,122.071624,41.122423,兴隆台区,district
211104,122.071708,40.994428,大洼区,district
211122,121.98528,41.240701,盘山县,district
211202,123.844877,42.292278,银州区,district
211204,124.14896,42.542978,清河区,district
211221,123.725669,42.223316,铁岭县,district
211223,124.72332,42.738091,西丰县,district
211224,124.11017,42.784441,昌图县,district
211281,123.545366,42.450734,调兵山市,district
211282,124.045551,42.542141,开原市,district
211302,120.44877,41.579389,双塔区,district
211303,120.413376,41.576749,龙城区,district
211321,120.404217,41.526342,朝阳县,district
211322,119.642363,41.402576,建平县,district
211324,119.744883,41.125428,喀喇沁左翼蒙古族自治县,district
211381,120.766951,41.803286,北票市,district
211382,119.404789,41.243086,凌源市,district
211402,120.85937,40.755143,连山区,district
211403,120.838569,40.709991,龙港区,district
211404,120.752314,41.098813,南票区,district
211421,120.342112,40.328407,绥中县,district
211422,119.807776,40.812871,建昌县,district
211481,120.729365,40.619413,兴城市,district
220102,125.337237,43.890235,南关区,district
220103,125.342828,43.903823,宽城区,district
220104,125.318042,43.86491,朝阳区,district
220105,125.384727,43.870824,二道区,district
220106,125.272467,43.892177,绿园区,district
220112,125.659018,43.525168,双阳区,district
220113,125.844682,44.157155,九台区,district
220122,125.175287,44.431258,农安县,district
220182,126.550107,44.827642,榆树市,district
220183,125.703327,44.533909,德惠市,district
220184,124.817588,43.509474,公主岭市,district
220202,126.570766,43.851118,昌邑区,district
220203,126.561429,43.909755,龙潭区,district
220204,126.55239,43.843804,船营区,district
220211,126.560759,43.816594,丰满区,district
220221,126.501622,43.667416,永吉县,district
220281,127.342739,43.720579,蛟河市,district
220282,126.745445,42.972093,桦甸市,district
220283,126.947813,44.410906,舒兰市,district
220284,126.059929,42.942476,磐石市,district
220302,124.360894,43.176263,铁西区,district
220303,124.388464,43.16726,铁东区,district
220322,124.335802,43.30831,梨树县,district
220323,125.303124,43.345464,伊通满族自治县,district
220382,123.505283,43.518275,双辽市,district
220402,125.145164,42.902702,龙山区,district
220403,125.151424,42.920415,西安区,district
220421,125.529623,42.675228,东丰县,district
220422,124.991995,42.927724,东辽县,district
220502,125.936716,41.721233,东昌区,district
220503,126.045987,41.777564,二道江区,district
220521,125.753121,41.677918,通化县,district
220523,126.042821,42.683459,辉南县,district
220524,125.740536,42.281484,柳河县,district
220581,125.687336,42.530002,梅河口市,district
220582,126.186204,41.126276,集安市,district
220602,126.428035,41.943065,浑江区,district
220605,126.584229,42.048109,江源区,district
220621,127.273796,42.332643,抚松县,district
220622,126.808386,42.389689,靖宇县,district
220623,128.203384,41.419361,长白朝鲜族自治县,district
220681,126.919296,41.810689,临江市,district
220702,124.827851,45.176498,宁江区,district
220721,124.826808,45.116288,前郭尔罗斯蒙古族自治县,district
220722,123.985184,44.276579,长岭县,district
220723,124.024361,45.006846,乾安县,district
220781,126.042758,44.986199,扶余市,district
220802,122.842499,45.619253,洮北区,district
220821,123.202246,45.846089,镇赉县,district
220822,123.088543,44.80915,通榆县,district
220881,122.783779,45.339113,洮南市,district
220882,124.291512,45.507648,大安市,district
222401,129.51579,42.906964,延吉市,district
222402,129.846701,42.966621,图们市,district
222403,128.22986,43.366921,敦化市,district
222404,130.365787,42.871057,珲春市,district
222405,129.425747,42.771029,龙井市,district
222406,129.008748,42.547004,和龙市,district
222424,129.766161,43.315426,汪清县,district
222426,128.901865,43.110994,安图县,district
230102,126.612532,45.762035,道里区,district
230103,126.652098,45.755971,南岗区,district
230104,126.648838,45.78454,道外区,district
230108,126.629257,45.605567,平房区,district
230109,126.563066,45.814656,松北区,district
230110,126.667049,45.713067,香坊区,district
230111,126.603302,45.98423,呼兰区,district
230112,126.972726,45.538372,阿城区,district
